Comment,Designator,Footprint,LCSC Part #
"0402 0-Ohm Resistor","JR1,JR10,JR11,JR12,JR13,JR14,JR15,JR16,JR17,JR18,JR19,JR2,JR20,JR21,JR22,JR23,JR24,JR25,JR26,JR27,JR28,JR29,JR3,JR30,JR4,JR5,JR6,JR7,JR8,JR9","0402","C17168"
"1N4148W Diode SOD-123","D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D3,D4,D5,D6,D7,D8,D9","ceoloide:diode_tht_sod123","C81598"
